Total Votes,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%,
"991,292","775,699",78.25%,"203,817",20.56%,"11,776",1.19%,
,,,,,,,
Ward 1,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
25,552,505,91.49%,43,7.79%,4,0.72%
26,710,661,93.10%,36,5.07%,13,1.83%
27,944,856,90.68%,75,7.94%,13,1.38%
28,837,781,93.31%,51,6.09%,5,0.60%
29,884,818,92.53%,54,6.11%,12,1.36%
Total,"22,954","21,099",91.92%,"1,590",6.93%,265,1.15%
,,,,,,,
Ward 22,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,323,277,85.76%,44,13.62%,2,0.62%
2,242,199,82.23%,40,16.53%,3,1.24%
3,531,355,66.85%,170,32.02%,6,1.13%
4,329,241,73.25%,83,25.23%,5,1.52%
5,736,532,72.28%,183,24.86%,21,2.85%
6,410,269,65.61%,134,32.68%,7,1.71%
7,470,334,71.06%,130,27.66%,6,1.28%
8,494,351,71.05%,132,26.72%,11,2.23%
9,488,371,76.02%,106,21.72%,11,2.25%
10,565,400,70.80%,163,28.85%,2,0.35%
11,708,495,69.92%,207,29.24%,6,0.85%
12,449,298,66.37%,142,31.63%,9,2.00%
13,531,392,73.82%,130,24.48%,9,1.69%
14,535,348,65.05%,179,33.46%,8,1.50%
15,321,237,73.83%,81,25.23%,3,0.93%
16,543,350,64.46%,187,34.44%,6,1.10%
17,206,182,88.35%,21,10.19%,3,1.46%
18,421,374,88.84%,42,9.98%,5,1.19%
19,782,513,65.60%,256,32.74%,13,1.66%
Total,"9,084","6,518",71.75%,"2,430",26.75%,136,1.50%
,,,,,,,
Ward 23,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,408,159,38.97%,243,59.56%,6,1.47%
2,744,330,44.35%,405,54.44%,9,1.21%
3,466,193,41.42%,268,57.51%,5,1.07%
4,338,122,36.09%,211,62.43%,5,1.48%
5,570,238,41.75%,325,57.02%,7,1.23%
6,343,150,43.73%,188,54.81%,5,1.46%
7,509,221,43.42%,282,55.40%,6,1.18%
8,486,224,46.09%,258,53.09%,4,0.82%
9,705,335,47.52%,362,51.35%,8,1.13%
10,783,395,50.45%,369,47.13%,19,2.43%
11,392,243,61.99%,144,36.73%,5,1.28%
12,552,298,53.99%,248,44.93%,6,1.09%
13,935,529,56.58%,393,42.03%,13,1.39%
14,677,412,60.86%,250,36.93%,15,2.22%
15,728,440,60.44%,276,37.91%,12,1.65%
16,356,234,65.73%,115,32.30%,7,1.97%
17,533,364,68.29%,159,29.83%,10,1.88%
18,453,295,65.12%,149,32.89%,9,1.99%
19,409,260,63.57%,143,34.96%,6,1.47%
20,330,235,71.21%,93,28.18%,2,0.61%
21,332,211,63.55%,116,34.94%,5,1.51%
22,364,229,62.91%,130,35.71%,5,1.37%
23,360,244,67.78%,113,31.39%,3,0.83%
24,361,256,70.91%,95,26.32%,10,2.77%
25,270,174,64.44%,90,33.33%,6,2.22%
26,258,181,70.16%,75,29.07%,2,0.78%
27,342,238,69.59%,99,28.95%,5,1.46%
28,475,332,69.89%,131,27.58%,12,2.53%
29,551,385,69.87%,157,28.49%,9,1.63%
30,413,288,69.73%,120,29.06%,5,1.21%
31,448,292,65.18%,146,32.59%,10,2.23%
32,344,225,65.41%,112,32.56%,7,2.03%
33,726,492,67.77%,224,30.85%,10,1.38%
Total,"15,961","9,224",57.79%,"6,489",40.66%,248,1.55%
,,,,,,,
Ward 24,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,361,324,89.75%,33,9.14%,4,1.11%
2,303,279,92.08%,21,6.93%,3,0.99%
3,612,538,87.91%,66,10.78%,8,1.31%
4,597,515,86.26%,72,12.06%,10,1.68%
5,867,778,89.73%,82,9.46%,7,0.81%
6,572,515,90.03%,44,7.69%,13,2.27%
7,322,289,89.75%,27,8.39%,6,1.86%
8,366,316,86.34%,44,12.02%,6,1.64%
9,719,646,89.85%,62,8.62%,11,1.53%
10,495,449,90.71%,38,7.68%,8,1.62%
11,600,530,88.33%,57,9.50%,13,2.17%
12,922,816,88.50%,94,10.20%,12,1.30%
13,736,660,89.67%,69,9.38%,7,0.95%
14,537,478,89.01%,47,8.75%,12,2.23%
15,410,356,86.83%,50,12.20%,4,0.98%
16,242,210,86.78%,31,12.81%,1,0.41%
17,538,457,84.94%,70,13.01%,11,2.04%
18,709,586,82.65%,117,16.50%,6,0.85%
19,1241,594,47.86%,600,48.35%,47,3.79%
20,570,494,86.67%,64,11.23%,12,2.11%
Total,"11,719","9,830",83.88%,"1,688",14.40%,201,1.72%
,,,,,,,
Ward 25,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,682,492,72.14%,184,26.98%,6,0.88%
2,418,290,69.38%,117,27.99%,11,2.63%
3,539,412,76.44%,118,21.89%,9,1.67%
4,633,459,72.51%,160,25.28%,14,2.21%
5,932,799,85.73%,123,13.20%,10,1.07%
6,799,619,77.47%,172,21.53%,8,1.00%
7,889,674,75.82%,198,22.27%,17,1.91%
8,938,730,77.83%,193,20.58%,15,1.60%
9,899,774,86.10%,112,12.46%,13,1.45%
10,994,830,83.50%,157,15.79%,7,0.70%
11,801,660,82.40%,131,16.35%,10,1.25%
12,702,581,82.76%,107,15.24%,14,1.99%
13,1073,935,87.14%,130,12.12%,8,0.75%
14,1167,1013,86.80%,143,12.25%,11,0.94%
15,805,633,78.63%,163,20.25%,9,1.12%
16,995,823,82.71%,162,16.28%,10,1.01%
17,470,379,80.64%,82,17.45%,9,1.91%
Total,"13,736","11,103",80.83%,"2,452",17.85%,181,1.32%
,,,,,,,
Ward 26,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,458,297,64.85%,155,33.84%,6,1.31%
2,496,401,80.85%,86,17.34%,9,1.81%
3,696,613,88.07%,79,11.35%,4,0.57%
4,660,443,67.12%,210,31.82%,7,1.06%
5,567,462,81.48%,97,17.11%,8,1.41%
6,362,267,73.76%,87,24.03%,8,2.21%
7,627,512,81.66%,106,16.91%,9,1.44%
8,534,421,78.84%,108,20.22%,5,0.94%
9,491,358,72.91%,126,25.66%,7,1.43%
10,413,343,83.05%,61,14.77%,9,2.18%
11,455,370,81.32%,81,17.80%,4,0.88%
12,205,162,79.02%,41,20.00%,2,0.98%
13,313,262,83.71%,46,14.70%,5,1.60%
14,363,253,69.70%,100,27.55%,10,2.75%
15,408,282,69.12%,120,29.41%,6,1.47%
16,676,580,85.80%,89,13.17%,7,1.04%
17,586,494,84.30%,88,15.02%,4,0.68%
18,390,261,66.92%,121,31.03%,8,2.05%
19,676,603,89.20%,66,9.76%,7,1.04%
20,768,696,90.63%,65,8.46%,7,0.91%
21,426,260,61.03%,162,38.03%,4,0.94%
22,442,302,68.33%,131,29.64%,9,2.04%
23,666,532,79.88%,123,18.47%,11,1.65%
24,380,268,70.53%,109,28.68%,3,0.79%
25,669,573,85.65%,84,12.56%,12,1.79%
26,847,727,85.83%,111,13.11%,9,1.06%
27,816,675,82.72%,131,16.05%,10,1.23%
28,734,636,86.65%,89,12.13%,9,1.23%
29,811,641,79.04%,163,20.10%,7,0.86%
30,316,305,96.52%,9,2.85%,2,0.63%
31,470,332,70.64%,129,27.45%,9,1.91%
32,596,508,85.23%,81,13.59%,7,1.17%
Total,"17,317","13,839",79.92%,"3,254",18.79%,224,1.29%
,,,,,,,
Ward 27,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,855,683,79.88%,155,18.13%,17,1.99%
2,1115,888,79.64%,210,18.83%,17,1.52%
3,549,481,87.61%,64,11.66%,4,0.73%
4,828,719,86.84%,97,11.71%,12,1.45%
5,517,445,86.07%,70,13.54%,2,0.39%
6,1101,881,80.02%,208,18.89%,12,1.09%
7,1389,1159,83.44%,221,15.91%,9,0.65%
8,328,267,81.40%,53,16.16%,8,2.44%
9,1125,915,81.33%,194,17.24%,16,1.42%
10,626,545,87.06%,75,11.98%,6,0.96%
11,1052,831,78.99%,206,19.58%,15,1.43%
12,664,538,81.02%,119,17.92%,7,1.05%
13,804,680,84.58%,115,14.30%,9,1.12%
14,599,524,87.48%,63,10.52%,12,2.00%
15,1066,828,77.67%,217,20.36%,21,1.97%
16,1760,1342,76.25%,400,22.73%,18,1.02%
17,485,410,84.54%,70,14.43%,5,1.03%
18,1010,899,89.01%,105,10.40%,6,0.59%
19,292,233,79.79%,53,18.15%,6,2.05%
20,513,461,89.86%,43,8.38%,9,1.75%
21,370,290,78.38%,76,20.54%,4,1.08%
22,594,513,86.36%,70,11.78%,11,1.85%
23,514,468,91.05%,43,8.37%,3,0.58%
24,348,279,80.17%,59,16.95%,10,2.87%
25,682,582,85.34%,89,13.05%,11,1.61%
26,760,668,87.89%,85,11.18%,7,0.92%
27,585,497,84.96%,84,14.36%,4,0.68%
28,893,582,65.17%,288,32.25%,23,2.58%
29,1335,1073,80.37%,240,17.98%,22,1.65%
Total,"22,759","18,681",82.08%,"3,772",16.57%,306,1.34%
,,,,,,,
Ward 28,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,462,408,88.31%,47,10.17%,7,1.52%
2,440,399,90.68%,36,8.18%,5,1.14%
3,121,105,86.78%,12,9.92%,4,3.31%
4,408,355,87.01%,48,11.76%,5,1.23%
5,380,343,90.26%,32,8.42%,5,1.32%
6,608,544,89.47%,52,8.55%,12,1.97%
7,313,265,84.66%,48,15.34%,0,0.00%
8,608,548,90.13%,49,8.06%,11,1.81%
9,370,326,88.11%,41,11.08%,3,0.81%
10,213,174,81.69%,36,16.90%,3,1.41%
11,835,731,87.54%,92,11.02%,12,1.44%
12,1145,952,83.14%,178,15.55%,15,1.31%
13,844,661,78.32%,171,20.26%,12,1.42%
14,747,639,85.54%,98,13.12%,10,1.34%
15,443,391,88.26%,46,10.38%,6,1.35%
16,875,758,86.63%,108,12.34%,9,1.03%
17,602,502,83.39%,91,15.12%,9,1.50%
18,493,440,89.25%,46,9.33%,7,1.42%
19,513,471,91.81%,39,7.60%,3,0.58%
20,454,402,88.55%,45,9.91%,7,1.54%
21,492,438,89.02%,50,10.16%,4,0.81%
22,385,330,85.71%,51,13.25%,4,1.04%
23,497,437,87.93%,56,11.27%,4,0.80%
24,386,346,89.64%,33,8.55%,7,1.81%
25,857,768,89.61%,76,8.87%,13,1.52%
26,252,228,90.48%,22,8.73%,2,0.79%
Total,"13,743","11,961",87.03%,"1,603",11.66%,179,1.30%
,,,,,,,
Ward 29,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,1007,525,52.14%,474,47.07%,8,0.79%
2,864,493,57.06%,362,41.90%,9,1.04%
3,795,507,63.77%,277,34.84%,11,1.38%
4,634,400,63.09%,226,35.65%,8,1.26%
5,601,450,74.88%,147,24.46%,4,0.67%
6,591,494,83.59%,92,15.57%,5,0.85%
7,938,704,75.05%,219,23.35%,15,1.60%
8,1237,1024,82.78%,204,16.49%,9,0.73%
9,581,525,90.36%,46,7.92%,10,1.72%
10,768,666,86.72%,95,12.37%,7,0.91%
11,655,555,84.73%,94,14.35%,6,0.92%
12,837,721,86.14%,105,12.54%,11,1.31%
13,839,746,88.92%,83,9.89%,10,1.19%
14,746,662,88.74%,77,10.32%,7,0.94%
15,777,670,86.23%,99,12.74%,8,1.03%
16,789,714,90.49%,62,7.86%,13,1.65%
17,597,546,91.46%,47,7.87%,4,0.67%
18,813,724,89.05%,74,9.10%,15,1.85%
19,886,815,91.99%,62,7.00%,9,1.02%
20,560,495,88.39%,51,9.11%,14,2.50%
21,687,577,83.99%,99,14.41%,11,1.60%
22,829,758,91.44%,59,7.12%,12,1.45%
23,758,686,90.50%,57,7.52%,15,1.98%
24,604,549,90.89%,49,8.11%,6,0.99%
Total,"18,393","15,006",81.59%,"3,160",17.18%,227,1.23%
,,,,,,,
Ward 30,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,865,532,61.50%,325,37.57%,8,0.92%
2,619,382,61.71%,227,36.67%,10,1.62%
3,668,570,85.33%,89,13.32%,9,1.35%
4,696,451,64.80%,237,34.05%,8,1.15%
5,814,527,64.74%,271,33.29%,16,1.97%
6,624,509,81.57%,108,17.31%,7,1.12%
7,523,361,69.02%,155,29.64%,7,1.34%
8,894,723,80.87%,162,18.12%,9,1.01%
9,874,554,63.39%,305,34.90%,15,1.72%
10,627,429,68.42%,190,30.30%,8,1.28%
11,771,518,67.19%,241,31.26%,12,1.56%
12,925,571,61.73%,342,36.97%,12,1.30%
13,852,534,62.68%,308,36.15%,10,1.17%
14,715,467,65.31%,241,33.71%,7,0.98%
15,918,762,83.01%,152,16.56%,4,0.44%
16,624,382,61.22%,235,37.66%,7,1.12%
17,775,545,70.32%,221,28.52%,9,1.16%
18,753,584,77.56%,165,21.91%,4,0.53%
19,477,343,71.91%,132,27.67%,2,0.42%
20,504,388,76.98%,114,22.62%,2,0.40%
21,947,552,58.29%,377,39.81%,18,1.90%
22,740,618,83.51%,115,15.54%,7,0.95%
23,722,602,83.38%,113,15.65%,7,0.97%
24,741,556,75.03%,180,24.29%,5,0.67%
25,510,354,69.41%,155,30.39%,1,0.20%
26,890,722,81.12%,159,17.87%,9,1.01%
Total,"19,068","13,536",70.99%,"5,319",27.89%,213,1.12%
,,,,,,,
Ward 31,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,625,448,71.68%,166,26.56%,11,1.76%
2,854,681,79.74%,159,18.62%,14,1.64%
3,543,354,65.19%,186,34.25%,3,0.55%
4,593,487,82.12%,101,17.03%,5,0.84%
5,585,418,71.45%,151,25.81%,16,2.74%
6,539,388,71.99%,145,26.90%,6,1.11%
7,591,403,68.19%,176,29.78%,12,2.03%
8,744,508,68.28%,222,29.84%,14,1.88%
