Total Votes,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%,
"991,292","775,699",78.25%,"203,817",20.56%,"11,776",1.19%,
,,,,,,,
Ward 1,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
18,1283,1173,91.43%,95,7.40%,15,1.17%
19,1235,1116,90.36%,110,8.91%,9,0.73%
20,1052,858,81.56%,185,17.59%,9,0.86%
21,726,619,85.26%,97,13.36%,10,1.38%
22,1060,925,87.26%,126,11.89%,9,0.85%
23,843,729,86.48%,108,12.81%,6,0.71%
Total,"28,361","24,994",88.13%,"3,152",11.11%,215,0.76%
,,,,,,,
Ward 47,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,1004,913,90.94%,85,8.47%,6,0.60%
2,1055,975,92.42%,77,7.30%,3,0.28%
3,960,885,92.19%,65,6.77%,10,1.04%
4,1174,1086,92.50%,77,6.56%,11,0.94%
5,1341,1253,93.44%,80,5.97%,8,0.60%
6,1239,1163,93.87%,70,5.65%,6,0.48%
7,1632,1501,91.97%,121,7.41%,10,0.61%
8,1115,999,89.60%,104,9.33%,12,1.08%
9,1374,1226,89.23%,140,10.19%,8,0.58%
10,1260,1148,91.11%,102,8.10%,10,0.79%
11,1083,971,89.66%,101,9.33%,11,1.02%
12,817,739,90.45%,74,9.06%,4,0.49%
13,850,751,88.35%,93,10.94%,6,0.71%
14,1093,916,83.81%,169,15.46%,8,0.73%
15,1095,945,86.30%,140,12.79%,10,0.91%
16,1112,976,87.77%,120,10.79%,16,1.44%
17,994,881,88.63%,102,10.26%,11,1.11%
18,1194,1090,91.29%,98,8.21%,6,0.50%
19,1252,1142,91.21%,103,8.23%,7,0.56%
20,1116,968,86.74%,138,12.37%,10,0.90%
21,1235,1084,87.77%,137,11.09%,14,1.13%
22,1129,985,87.25%,135,11.96%,9,0.80%
23,1267,1120,88.40%,145,11.44%,2,0.16%
24,1418,1232,86.88%,172,12.13%,14,0.99%
25,1020,891,87.35%,118,11.57%,11,1.08%
26,1304,1111,85.20%,174,13.34%,19,1.46%
27,1249,1061,84.95%,174,13.93%,14,1.12%
28,961,793,82.52%,157,16.34%,11,1.14%
Total,"32,343","28,805",89.06%,"3,271",10.11%,267,0.83%
,,,,,,,
Ward 48,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,1131,1062,93.90%,63,5.57%,6,0.53%
2,416,344,82.69%,71,17.07%,1,0.24%
3,710,602,84.79%,106,14.93%,2,0.28%
4,778,718,92.29%,53,6.81%,7,0.90%
5,385,354,91.95%,30,7.79%,1,0.26%
6,985,878,89.14%,99,10.05%,8,0.81%
7,909,846,93.07%,55,6.05%,8,0.88%
8,626,541,86.42%,84,13.42%,1,0.16%
9,461,353,76.57%,106,22.99%,2,0.43%
10,1034,984,95.16%,46,4.45%,4,0.39%
11,703,661,94.03%,39,5.55%,3,0.43%
12,1072,895,83.49%,171,15.95%,6,0.56%
13,843,681,80.78%,149,17.67%,13,1.54%
14,971,853,87.85%,108,11.12%,10,1.03%
15,722,622,86.15%,95,13.16%,5,0.69%
16,595,524,88.07%,65,10.92%,6,1.01%
17,303,242,79.87%,60,19.80%,1,0.33%
18,1037,884,85.25%,141,13.60%,12,1.16%
19,520,454,87.31%,57,10.96%,9,1.73%
20,349,303,86.82%,44,12.61%,2,0.57%
21,1022,861,84.25%,146,14.29%,15,1.47%
22,498,411,82.53%,85,17.07%,2,0.40%
23,701,623,88.87%,70,9.99%,8,1.14%
24,1334,1025,76.84%,284,21.29%,25,1.87%
25,966,903,93.48%,57,5.90%,6,0.62%
26,523,444,84.89%,75,14.34%,4,0.76%
27,908,791,87.11%,110,12.11%,7,0.77%
28,779,719,92.30%,56,7.19%,4,0.51%
29,348,309,88.79%,38,10.92%,1,0.29%
30,815,755,92.64%,53,6.50%,7,0.86%
31,794,743,93.58%,47,5.92%,4,0.50%
32,775,667,86.06%,98,12.65%,10,1.29%
33,351,299,85.19%,50,14.25%,2,0.57%
34,616,564,91.56%,51,8.28%,1,0.16%
35,939,866,92.23%,69,7.35%,4,0.43%
Total,"25,919","22,781",87.89%,"2,931",11.31%,207,0.80%
,,,,,,,
Ward 49,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,1101,990,89.92%,102,9.26%,9,0.82%
2,1015,885,87.19%,116,11.43%,14,1.38%
3,1328,1170,88.10%,147,11.07%,11,0.83%
4,1357,1192,87.84%,147,10.83%,18,1.33%
5,1347,1212,89.98%,129,9.58%,6,0.45%
6,174,147,84.48%,24,13.79%,3,1.72%
7,1388,1180,85.01%,191,13.76%,17,1.22%
8,1472,1368,92.93%,88,5.98%,16,1.09%
9,1365,1189,87.11%,164,12.01%,12,0.88%
10,934,818,87.58%,106,11.35%,10,1.07%
11,1090,929,85.23%,148,13.58%,13,1.19%
12,1089,908,83.38%,168,15.43%,13,1.19%
13,1281,1096,85.56%,164,12.80%,21,1.64%
14,1429,1295,90.62%,123,8.61%,11,0.77%
15,1322,1173,88.73%,135,10.21%,14,1.06%
16,1243,1099,88.42%,135,10.86%,9,0.72%
17,1315,1177,89.51%,129,9.81%,9,0.68%
Total,"20,250","17,828",88.04%,"2,216",10.94%,206,1.02%
,,,,,,,
Ward 50,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,830,253,30.48%,568,68.43%,9,1.08%
2,764,368,48.17%,391,51.18%,5,0.65%
3,617,299,48.46%,307,49.76%,11,1.78%
4,670,445,66.42%,214,31.94%,11,1.64%
5,1020,607,59.51%,397,38.92%,16,1.57%
6,422,338,80.09%,81,19.19%,3,0.71%
7,1057,899,85.05%,148,14.00%,10,0.95%
8,926,683,73.76%,217,23.43%,26,2.81%
9,231,122,52.81%,102,44.16%,7,3.03%
10,702,249,35.47%,446,63.53%,7,1.00%
11,845,193,22.84%,646,76.45%,6,0.71%
12,279,113,40.50%,162,58.06%,4,1.43%
13,928,587,63.25%,323,34.81%,18,1.94%
14,195,73,37.44%,117,60.00%,5,2.56%
15,847,568,67.06%,265,31.29%,14,1.65%
16,178,76,42.70%,101,56.74%,1,0.56%
17,512,280,54.69%,221,43.16%,11,2.15%
18,127,43,33.86%,84,66.14%,0,0.00%
19,441,261,59.18%,170,38.55%,10,2.27%
20,374,240,64.17%,126,33.69%,8,2.14%
21,840,571,67.98%,260,30.95%,9,1.07%
22,1065,313,29.39%,735,69.01%,17,1.60%
23,836,384,45.93%,439,52.51%,13,1.56%
24,1082,252,23.29%,826,76.34%,4,0.37%
25,207,119,57.49%,86,41.55%,2,0.97%
26,453,210,46.36%,240,52.98%,3,0.66%
27,190,96,50.53%,91,47.89%,3,1.58%
28,781,574,73.50%,201,25.74%,6,0.77%
Total,"17,419","9,216",52.91%,"7,964",45.72%,239,1.37%
